Partial_Entity_Name,State,State_Short,Full_Entity_Name,Match_Status,Matched_Name,Confidence_Score,Match_Stage,Context_Notes,Top_3_Candidates
REDLANDS USD,California,CA,CA-REDLANDS USD,Matched,CA-REDLANDS UNIFIED SCHOOL DISTRICT,1.0,exact,,
SALINAS CITY ESD,California,CA,CA-SALINAS CITY ESD,Matched,CA-SALINAS CITY ELEMENTARY SCHOOL DISTRICT,1.0,exact,,
SAN DIEGO USD,California,CA,CA-SAN DIEGO USD,Matched,CA-SAN DIEGO UNIFIED SCHOOL DISTRICT,1.0,exact,,
SAN DIEGUITO UNION HIGH SD,California,CA,CA-SAN DIEGUITO UNION HIGH SD,Matched,CA-SAN DIEGUITO UNION HIGH SCHOOL DISTRICT,1.0,exact,,
LOS RIOS COMMUNITY COLLEGE DISTRICT,California,CA,CA-LOS RIOS COMMUNITY COLLEGE DISTRICT,Matched,CA-LOS RIOS CCD,1.0,exact,,
MANTECA USD,California,CA,CA-MANTECA USD,Matched,CA-MANTECA UNIFIED SCHOOL DISTRICT,1.0,exact,,
MONTEREY PENINSULA USD,California,CA,CA-MONTEREY PENINSULA USD,Matched,CA-MONTEREY PENINSULA UNIFIED SCHOOL DISTRICT,1.0,exact,,
CITY OF MONROE,North Carolina,NC,NC-CITY OF MONROE,Matched,NC-CITY OF MONROE,1.0,exact,,
GLOVERSVILLE ENLARGED SD,New York,NY,NY-GLOVERSVILLE ENLARGED SD,Matched,NY-GLOVERSVILLE ENLARGED SCHOOL DISTRICT,1.0,exact,,
ITHACA COLLEGE,New York,NY,NY-ITHACA COLLEGE,Matched,NY-ITHACA COLLEGE,1.0,exact,,
MELROSE FIRE DISTRICT,New York,NY,NY-MELROSE FIRE DISTRICT,Matched,NY-MELROSE FIRE DISTRICT,1.0,exact,,
CITY OF MAUMEE,Ohio,OH,OH-CITY OF MAUMEE,Matched,OH-CITY OF MAUMEE,1.0,exact,,
INDEPENDENCE LOCAL SCHOOLS,Ohio,OH,OH-INDEPENDENCE LOCAL SCHOOLS,Matched,OH-INDEPENDENCE LOCAL SCHOOLS,1.0,exact,,
TEHACHAPI USD,California,CA,CA-TEHACHAPI USD,Matched,CA-TEHACHAPI UNIFIED SCHOOL DISTRICT,1.0,exact,,
